epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,11414.3,1.71193,1.09388,0.98813,0.51392,0.40169,0.39234,0.17294,1.85046,1.29364,1.0464,0.0007823,0.0007823,0.0007823
125,11490.4,1.70764,1.10086,0.9876,0.5276,0.39783,0.39874,0.17442,1.84317,1.2989,1.04282,0.0007724,0.0007724,0.0007724
126,11627.7,1.69373,1.08617,0.98503,0.52403,0.39948,0.39589,0.17269,1.85038,1.30216,1.04542,0.0007625,0.0007625,0.0007625
127,11690.6,1.69819,1.08761,0.98084,0.51635,0.39544,0.3891,0.17031,1.8549,1.31916,1.04499,0.0007526,0.0007526,0.0007526
128,11755.1,1.69843,1.10199,0.9876,0.51659,0.39935,0.39412,0.17314,1.85033,1.29158,1.04758,0.0007427,0.0007427,0.0007427
129,11809.7,1.68116,1.0804,0.98624,0.52919,0.39671,0.39475,0.17376,1.84018,1.29666,1.04507,0.0007328,0.0007328,0.0007328
130,11950.6,1.69931,1.07904,0.98472,0.52234,0.39909,0.39655,0.17282,1.84866,1.29752,1.04508,0.0007229,0.0007229,0.0007229
131,12003.8,1.70119,1.07987,0.98172,0.52321,0.4003,0.39789,0.17432,1.85066,1.29517,1.04447,0.000713,0.000713,0.000713
132,12079.1,1.6863,1.08618,0.98612,0.52117,0.39616,0.39077,0.17167,1.8472,1.30549,1.04358,0.0007031,0.0007031,0.0007031
133,12125.5,1.69211,1.07913,0.98372,0.52817,0.39709,0.39716,0.17491,1.84294,1.28624,1.04567,0.0006932,0.0006932,0.0006932
134,12220.1,1.67614,1.07032,0.9794,0.52377,0.4003,0.39806,0.17455,1.84935,1.29063,1.04663,0.0006833,0.0006833,0.0006833
135,12296.5,1.67175,1.07171,0.98036,0.51876,0.40348,0.39548,0.17337,1.85524,1.30135,1.04896,0.0006734,0.0006734,0.0006734
136,12446.6,1.67257,1.07292,0.97799,0.52232,0.40352,0.39806,0.17604,1.84202,1.28678,1.04865,0.0006635,0.0006635,0.0006635
137,12487.8,1.676,1.06863,0.98075,0.52039,0.40531,0.39799,0.17573,1.83875,1.28881,1.04366,0.0006536,0.0006536,0.0006536
138,12536.2,1.67591,1.06667,0.97679,0.52376,0.40143,0.39883,0.17516,1.84144,1.29693,1.04419,0.0006437,0.0006437,0.0006437
139,12596.3,1.68161,1.06719,0.97716,0.51636,0.40404,0.39559,0.17306,1.8577,1.30959,1.05178,0.0006338,0.0006338,0.0006338
140,12678.2,1.67338,1.06453,0.98002,0.52697,0.40185,0.39835,0.17499,1.84717,1.29464,1.04529,0.0006239,0.0006239,0.0006239
141,12761.2,1.68284,1.06985,0.97745,0.52204,0.40326,0.39706,0.17501,1.84263,1.29864,1.04516,0.000614,0.000614,0.000614
142,12822.7,1.68803,1.07015,0.97769,0.51931,0.40117,0.39727,0.17378,1.84715,1.2999,1.04749,0.0006041,0.0006041,0.0006041
143,12884.1,1.65991,1.05291,0.9741,0.52193,0.40248,0.3963,0.175,1.84479,1.28559,1.04742,0.0005942,0.0005942,0.0005942
144,12935.9,1.67974,1.05711,0.9714,0.51811,0.40613,0.39532,0.17459,1.84671,1.29631,1.04833,0.0005843,0.0005843,0.0005843
145,12984.7,1.65512,1.04112,0.97171,0.52534,0.40252,0.39803,0.17485,1.84836,1.30755,1.04861,0.0005744,0.0005744,0.0005744
146,13188.8,1.66158,1.05501,0.97169,0.51982,0.40487,0.39789,0.17386,1.84824,1.29655,1.0477,0.0005645,0.0005645,0.0005645
